,year,constructorId,constructorResultsId,raceId,points,constructorName,rank,pointsPct
80,2007,5,4779,748,8.0,Toro Rosso,8,1.206636500754148
85,2007,11,4752,748,6.0,Honda,9,0.904977375565611
83,2007,8,4770,748,4.0,Super Aguri,10,0.603318250377074
86,2007,12,4793,748,1.0,Spyker,11,0.1508295625942685
67,2006,4,8401,1107,206.0,Renault,1,29.34472934472934
69,2006,6,8405,1107,201.0,Ferrari,2,28.63247863247863
64,2006,1,8423,1107,110.0,McLaren,3,15.669515669515668
73,2006,11,8438,1107,86.0,Honda,4,12.250712250712251
65,2006,2,8465,1107,36.0,BMW Sauber,5,5.128205128205128
70,2006,7,8470,1107,35.0,Toyota,6,4.985754985754986
72,2006,9,8488,1107,16.0,Red Bull,7,2.2792022792022792
66,2006,3,8499,1107,11.0,Williams,8,1.566951566951567
68,2006,5,8502,1107,1.0,Toro Rosso,9,0.14245014245014245
71,2006,8,8539,1107,0.0,Super Aguri,10,0.0
74,2006,13,6323,833,0.0,MF1,10,0.0
75,2006,14,2206,274,0.0,Spyker MF1,10,0.0
56,2005,4,12542,1520,191.0,Renault,1,25.880758807588077
54,2005,1,12535,1520,182.0,McLaren,2,24.661246612466126
57,2005,6,12577,1520,100.0,Ferrari,3,13.550135501355012
58,2005,7,12578,1520,88.0,Toyota,4,11.924119241192411
55,2005,3,12596,1520,66.0,Williams,5,8.94308943089431
61,2005,16,11367,1369,38.0,BAR,6,5.149051490514905
59,2005,9,12617,1520,34.0,Red Bull,7,4.607046070460704
60,2005,15,12616,1520,20.0,Sauber,8,2.710027100271003
62,2005,17,12647,1520,12.0,Jordan,9,1.6260162601626018
63,2005,18,12663,1520,7.0,Minardi,10,0.9485094850948509
47,2004,6,15179,1773,262.0,Ferrari,1,37.32193732193732
50,2004,16,15211,1773,119.0,BAR,2,16.951566951566953
46,2004,4,15225,1773,105.0,Renault,3,14.957264957264957
45,2004,3,15236,1773,88.0,Williams,4,12.535612535612536
44,2004,1,15246,1773,69.0,McLaren,5,9.82905982905983
49,2004,15,15255,1773,34.0,Sauber,6,4.843304843304843
53,2004,19,15278,1773,10.0,Jaguar,7,1.4245014245014245
48,2004,7,15288,1773,9.0,Toyota,8,1.282051282051282
51,2004,17,15308,1773,5.0,Jordan,9,0.7122507122507122
52,2004,18,15324,1773,1.0,Minardi,10,0.14245014245014245
37,2003,6,16231,1848,158.0,Ferrari,1,25.320512820512818
35,2003,3,16240,1848,144.0,Williams,2,23.076923076923077
34,2003,1,16242,1848,142.0,McLaren,3,22.756410256410255
36,2003,4,16256,1848,88.0,Renault,4,14.102564102564102
40,2003,16,16286,1848,26.0,BAR,5,4.166666666666666
39,2003,15,16297,1848,19.0,Sauber,6,3.0448717948717947
43,2003,19,16299,1848,18.0,Jaguar,7,2.8846153846153846
38,2003,7,16301,1848,16.0,Toyota,8,2.564102564102564
41,2003,17,16314,1848,13.0,Jordan,9,2.083333333333333
42,2003,18,16334,1848,0.0,Minardi,10,0.0
26,2002,6,20154,2244,221.0,Ferrari,1,50.0
24,2002,3,20184,2244,92.0,Williams,2,20.81447963800905
22,2002,1,20194,2244,65.0,McLaren,3,14.705882352941178
25,2002,4,20229,2244,23.0,Renault,4,5.203619909502263
28,2002,15,20245,2244,11.0,Sauber,5,2.48868778280543
30,2002,17,20249,2244,9.0,Jordan,6,2.0361990950226243
32,2002,19,20258,2244,8.0,Jaguar,7,1.809954751131222
29,2002,16,20250,2244,7.0,BAR,8,1.583710407239819
27,2002,7,20265,2244,2.0,Toyota,9,0.4524886877828055
31,2002,18,20289,2244,2.0,Minardi,9,0.4524886877828055
33,2002,21,13990,1554,2.0,Arrows,9,0.4524886877828055
23,2002,2,3018,124,0.0,BMW Sauber,10,0.0
13,2001,6,23265,2533,179.0,Ferrari,1,40.497737556561084
11,2001,1,23294,2533,102.0,McLaren,2,23.076923076923077
12,2001,3,23314,2533,80.0,Williams,3,18.099547511312217
14,2001,15,23338,2533,21.0,Sauber,4,4.751131221719457
16,2001,17,23340,2533,19.0,Jordan,5,4.298642533936651
15,2001,16,23334,2533,17.0,BAR,6,3.8461538461538463
21,2001,22,23366,2533,10.0,Benetton,7,2.262443438914027
18,2001,19,23363,2533,9.0,Jaguar,8,2.0361990950226243
19,2001,20,23360,2533,4.0,Prost,9,0.904977375565611
20,2001,21,23378,2533,1.0,Arrows,10,0.22624434389140274
17,2001,18,23399,2533,0.0,Minardi,11,0.0
2,2000,6,26442,2822,170.0,Ferrari,1,38.46153846153847
0,2000,1,26461,2822,162.0,McLaren,2,36.65158371040724
1,2000,3,26510,2822,36.0,Williams,3,8.144796380090497
4,2000,16,26509,2822,20.0,BAR,4,4.524886877828054
10,2000,22,26517,2822,20.0,Benetton,4,4.524886877828054
5,2000,17,26531,2822,17.0,Jordan,5,3.8461538461538463
9,2000,21,26554,2822,7.0,Arrows,6,1.583710407239819
3,2000,15,26522,2822,6.0,Sauber,7,1.3574660633484164
7,2000,19,26540,2822,4.0,Jaguar,8,0.904977375565611
6,2000,18,26563,2822,0.0,Minardi,9,0.0
8,2000,20,26571,2822,0.0,Prost,9,0.0
